model,model_label,tensor_name,checkpoint_file,layer_index,component,subcomponent,numel,mean,std,rms,abs_mean
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.input_layernorm.weight,,7.0,norm,input_layernorm,896,1.1479511260986328,0.3613919615745544,1.2034326791763306,1.152930498123169
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.7.post_attention_layernorm.weight,,7.0,norm,post_attention_layernorm,896,1.3060107231140137,0.4031306207180023,1.3667467832565308,1.3060107231140137
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.q_proj.weight,,8.0,attention,q_proj,802816,-1.834040995163377e-05,0.0257550701498985,0.0257550626993179,0.0188538860529661
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.q_proj.bias,,8.0,attention,q_proj,896,0.2326673865318298,2.374526262283325,2.3845789432525635,1.0815606117248535
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.k_proj.weight,,8.0,attention,k_proj,114688,-0.0001293240784434,0.0321825705468654,0.032182689756155,0.0240782741457223
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.k_proj.bias,,8.0,attention,k_proj,128,-3.7607271671295166,24.907943725585938,25.093860626220703,5.083213806152344
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.v_proj.weight,,8.0,attention,v_proj,114688,3.3589272788958624e-05,0.0163204781711101,0.0163204427808523,0.0122817568480968
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.v_proj.bias,,8.0,attention,v_proj,128,-0.0461787953972816,0.55147784948349,0.5512570142745972,0.3807897567749023
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.self_attn.o_proj.weight,,8.0,attention,o_proj,802816,-2.4474002202623524e-05,0.0172013081610202,0.0172013137489557,0.0123851932585239
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.mlp.gate_proj.weight,,8.0,mlp,gate_proj,4358144,6.085693166824058e-05,0.021732797846198,0.0217328798025846,0.016607055440545
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.mlp.up_proj.weight,,8.0,mlp,up_proj,4358144,8.919047104427591e-06,0.0188486464321613,0.0188486464321613,0.0146246096119284
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.mlp.down_proj.weight,,8.0,mlp,down_proj,4358144,4.759447165270103e-06,0.0180953983217477,0.0180953964591026,0.0138309188187122
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.input_layernorm.weight,,8.0,norm,input_layernorm,896,1.0841835737228394,0.5512576699256897,1.2161413431167605,1.0841835737228394
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.8.post_attention_layernorm.weight,,8.0,norm,post_attention_layernorm,896,1.2375729084014893,0.4594142735004425,1.32000470161438,1.2375729084014893
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.q_proj.weight,,9.0,attention,q_proj,802816,-1.449337196390843e-05,0.0226174443960189,0.0226174350827932,0.0158970821648836
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.q_proj.bias,,9.0,attention,q_proj,896,0.0980568677186966,2.6872267723083496,2.687516212463379,0.9161012172698976
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.k_proj.weight,,9.0,attention,k_proj,114688,7.929023558972403e-05,0.0244420077651739,0.0244420263916254,0.0174987502396106
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.k_proj.bias,,9.0,attention,k_proj,128,-0.0557730197906494,0.6570684313774109,0.6568687558174133,0.3699877262115478
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.v_proj.weight,,9.0,attention,v_proj,114688,-5.022428013035096e-05,0.0177586954087018,0.0177586898207664,0.0135071910917758
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.v_proj.bias,,9.0,attention,v_proj,128,-0.0097004249691963,0.1218535974621772,0.121763676404953,0.0524552688002586
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.self_attn.o_proj.weight,,9.0,attention,o_proj,802816,1.511394657427445e-05,0.0168039724230766,0.0168039705604314,0.012365479953587
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.mlp.gate_proj.weight,,9.0,mlp,gate_proj,4358144,7.851644477341324e-05,0.0205121170729398,0.0205122642219066,0.0157491415739059
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.mlp.up_proj.weight,,9.0,mlp,up_proj,4358144,-7.51369452700601e-06,0.018717736005783,0.0187177378684282,0.0145280929282307
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.mlp.down_proj.weight,,9.0,mlp,down_proj,4358144,-1.418435113009764e-05,0.017973793670535,0.0179737973958253,0.013632908463478
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.input_layernorm.weight,,9.0,norm,input_layernorm,896,1.5364292860031128,0.9680919051170348,1.815701246261597,1.5365492105484009
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.9.post_attention_layernorm.weight,,9.0,norm,post_attention_layernorm,896,1.311051607131958,0.5723302960395813,1.4304028749465942,1.311051607131958
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.q_proj.weight,,10.0,attention,q_proj,802816,-1.3236352970125154e-05,0.0214353427290916,0.0214353334158658,0.0159085672348737
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.q_proj.bias,,10.0,attention,q_proj,896,-0.1631801426410675,2.142300605773926,2.147314071655273,0.8234429955482483
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.k_proj.weight,,10.0,attention,k_proj,114688,4.28934654337354e-05,0.0244257282465696,0.0244256593286991,0.0181305687874555
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.k_proj.bias,,10.0,attention,k_proj,128,0.0140192508697509,0.9762438535690308,0.9725239872932434,0.5912835597991943
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.v_proj.weight,,10.0,attention,v_proj,114688,-8.277873712358996e-05,0.0201917011290788,0.0201917830854654,0.0152792865410447
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.v_proj.bias,,10.0,attention,v_proj,128,-0.0187667459249496,0.1375884115695953,0.1383288204669952,0.0842948704957962
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.self_attn.o_proj.weight,,10.0,attention,o_proj,802816,-1.2832383617933374e-05,0.0181832034140825,0.0181831959635019,0.0131652355194091
Qwen/Qwen2.5-0.5B-Instruct,0.5B,model.layers.10.mlp.gate_proj.weight,,10.0,mlp,gate_proj,4358144,0.0001224592269863,0.0212521068751811,0.0212524589151144,0.0161128118634223
