model,model_label,component,layer_index,tensor_count,total_numel,weighted_mean_std,mean_std,median_std,weighted_mean_rms,mean_rms,weighted_mean_abs
Qwen/Qwen2.5-32B-Instruct,32B,attention,38,7,62921728,0.02295260080493825,0.23877233399876527,0.025362655520439148,0.022952598485142202,0.2387399130633899,0.017721242384052448
Qwen/Qwen2.5-32B-Instruct,32B,attention,39,7,62921728,0.02304226609015821,0.3380885701626539,0.02619912661612034,0.023042250551453234,0.3380016248141016,0.017799313342581006
Qwen/Qwen2.5-32B-Instruct,32B,attention,40,7,62921728,0.022874067996168264,0.29415829985269476,0.024727189913392067,0.022874053486590874,0.29408321529626846,0.01753227662898393
Qwen/Qwen2.5-32B-Instruct,32B,attention,41,7,62921728,0.022589494969986752,0.3173046756003584,0.024323079735040665,0.022589699511443857,0.31771713708128246,0.01724614370486066
Qwen/Qwen2.5-32B-Instruct,32B,attention,42,7,62921728,0.022767981150123545,0.29667816390948637,0.02535131573677063,0.02276796678495746,0.2965948097407818,0.01752028593087733
Qwen/Qwen2.5-32B-Instruct,32B,attention,43,7,62921728,0.023069717866162055,0.33284705345119747,0.025301838293671608,0.02306970359763393,0.3327760935894081,0.017850326689489368
Qwen/Qwen2.5-32B-Instruct,32B,attention,44,7,62921728,0.02320385791964804,0.33948915185672895,0.027643973007798195,0.023203853761426953,0.3394166151327746,0.017893546561310692
Qwen/Qwen2.5-32B-Instruct,32B,attention,45,7,62921728,0.02326300854037143,0.3438082662011896,0.027219539508223534,0.023262999321995177,0.3437475107078041,0.017885894139117564
Qwen/Qwen2.5-32B-Instruct,32B,attention,46,7,62921728,0.023606632519346343,0.3660083096474409,0.027905266731977463,0.023606626667839043,0.36598953950617996,0.01824221985524145
Qwen/Qwen2.5-32B-Instruct,32B,attention,47,7,62921728,0.023591588364102672,0.34305167836802347,0.02771111950278282,0.023591743326406164,0.34353720104055746,0.01838934376482009
Qwen/Qwen2.5-32B-Instruct,32B,attention,48,7,62921728,0.023853998285609697,0.27562402428260874,0.028055045753717422,0.023853985458648332,0.27555621628250393,0.01852615013164968
Qwen/Qwen2.5-32B-Instruct,32B,attention,49,7,62921728,0.023640247803638954,0.31795343330928255,0.028537636622786522,0.023640375617587025,0.3181127038385187,0.01839924285929077
Qwen/Qwen2.5-32B-Instruct,32B,attention,50,7,62921728,0.023359038584069017,0.2762544934770891,0.028099890798330307,0.02335913814505462,0.27656881750694345,0.018123261407370552
Qwen/Qwen2.5-32B-Instruct,32B,attention,51,7,62921728,0.02378027240678595,0.28256899304687977,0.028192410245537758,0.023780265643947522,0.28253302723169327,0.01848984614316786
Qwen/Qwen2.5-32B-Instruct,32B,attention,52,7,62921728,0.023771590402128756,0.3067249889884676,0.030228130519390106,0.02377158402184085,0.30671278360698906,0.018400197126712047
Qwen/Qwen2.5-32B-Instruct,32B,attention,53,7,62921728,0.02365380682052758,0.2738298073943172,0.028561675921082497,0.023653834530280436,0.27388343693954603,0.018437482838466007
Qwen/Qwen2.5-32B-Instruct,32B,attention,54,7,62921728,0.023579191861315494,0.27349029960376875,0.029026195406913757,0.023579210194154918,0.273694177291223,0.018430807582283125
Qwen/Qwen2.5-32B-Instruct,32B,attention,55,7,62921728,0.023588671696725006,0.2717959683920656,0.03082023561000824,0.023588699701969345,0.2717983102692025,0.018469755270158986
