model,model_label,layer_index,component,mean_rms,std_rms,mean_fro_norm,std_fro_norm,mean_tensor_std,std_tensor_std
Qwen/Qwen2.5-1.5B-Instruct,1.5B,27,attention,0.37998798782272,0.4142312611372747,27.883955027022484,14.972114303694047,0.37949175094919546,0.4134512465128515
Qwen/Qwen2.5-1.5B-Instruct,1.5B,27,mlp,0.02716336833933983,0.001340120614553135,100.77045870102724,4.971569333971043,0.027163285762071564,0.001340089355299848
Qwen/Qwen2.5-1.5B-Instruct,1.5B,27,norm,1.6165324449539185,0.04848897457122803,63.35487428465336,1.900371933604756,0.6816649287939072,0.42791141569614416
Qwen/Qwen2.5-3B-Instruct,3B,0,all,1.4818522788894672,4.193561860571838,72.40218580936315,66.83483344524109,1.444721517463525,4.212883386313353
Qwen/Qwen2.5-3B-Instruct,3B,0,attention,2.420583906982626,5.292488295619468,67.90785783775368,76.11964084750217,2.424542283639312,5.302757244932318
Qwen/Qwen2.5-3B-Instruct,3B,0,mlp,0.025200481836994432,0.0013162941461180879,119.65422308298503,6.249886586344152,0.0252004731446504,0.0013162852494457765
Qwen/Qwen2.5-3B-Instruct,3B,0,norm,0.38126927614212036,0.030923098325729342,17.254277799563496,1.399419681370981,0.1446304023265838,0.005300641059875502
Qwen/Qwen2.5-3B-Instruct,3B,1,all,0.5944988115224987,1.241375214893763,39.52839084535246,20.645738445509217,0.5602507051856568,1.2266082673939378
Qwen/Qwen2.5-3B-Instruct,3B,1,attention,0.7895561706806932,1.540069712532864,36.74424536158553,22.69947212595302,0.7888394075312785,1.5382671839514621
Qwen/Qwen2.5-3B-Instruct,3B,1,mlp,0.010235115575293666,0.0012412642159989973,48.5972772365207,5.893637525138061,0.010235085772971267,0.0012412228063825568
Qwen/Qwen2.5-3B-Instruct,3B,1,norm,0.7881935983896255,0.5118506997823715,35.66957045178435,23.16371844935646,0.5852136760950089,0.32892291247844696
Qwen/Qwen2.5-3B-Instruct,3B,2,all,0.4642805736511945,0.8421201418729172,40.44228776277192,20.638596370581055,0.3868520559432606,0.7867633611000244
Qwen/Qwen2.5-3B-Instruct,3B,2,attention,0.5438246881323201,1.0066953415079005,32.142885838838275,18.64581314633485,0.5356580713497741,0.9883539018617478
Qwen/Qwen2.5-3B-Instruct,3B,2,mlp,0.012790209303299533,0.0008760975568423344,60.72909903684596,4.159792387579736,0.012790200610955501,0.0008761056652366692
Qwen/Qwen2.5-3B-Instruct,3B,2,norm,0.8631117194890976,0.470101609826088,39.05997758542862,21.274370313903322,0.4271237850189209,0.07758748531341556
Qwen/Qwen2.5-3B-Instruct,3B,3,all,0.3756814628529052,0.5246016661999219,46.382981809834426,27.881672336652038,0.27308833459392184,0.42227042729053316
Qwen/Qwen2.5-3B-Instruct,3B,3,attention,0.3465605705444302,0.517063397155404,31.310871244932994,22.330531173211288,0.34665862364428385,0.517023971533361
Qwen/Qwen2.5-3B-Instruct,3B,3,mlp,0.0172369430462519,0.0005678089260899942,81.84260292583816,2.696009399754611,0.01723693745831643,0.0005678154355322953
Qwen/Qwen2.5-3B-Instruct,3B,3,norm,1.0152713656425476,0.3327656388282776,45.94593711298383,15.059253744726309,0.39936941862106323,0.03455820679664609
Qwen/Qwen2.5-3B-Instruct,3B,4,all,0.32570779711628955,0.4755283141821909,46.22427857746998,29.678065790547734,0.23701776983216405,0.40695563591524664
Qwen/Qwen2.5-3B-Instruct,3B,4,attention,0.3202854014400925,0.5054703947547873,31.98964584331828,23.446560392833,0.32008437040661064,0.5047220903106453
Qwen/Qwen2.5-3B-Instruct,3B,4,mlp,0.018098776539166733,0.00046839580168475995,85.93466821604369,2.223986672494758,0.018098756670951798,0.0004683685180393054
Qwen/Qwen2.5-3B-Instruct,3B,4,norm,0.8060997128486633,0.2994951605796814,36.47990868914039,13.553603774620589,0.2746631875634193,0.067940853536129
Qwen/Qwen2.5-3B-Instruct,3B,5,all,0.33449064459030825,0.5070016196813394,53.09668309105393,39.097835519062265,0.24995599562923113,0.4497951000328117
Qwen/Qwen2.5-3B-Instruct,3B,5,attention,0.3265471349337271,0.5622909977613139,32.61291391953175,25.527220571478658,0.3265558161905834,0.5624203245231202
Qwen/Qwen2.5-3B-Instruct,3B,5,mlp,0.023437396933635033,0.0004578932374656164,111.28293257729645,2.1741195243128537,0.0234373311201731,0.00045780393480490396
Qwen/Qwen2.5-3B-Instruct,3B,5,norm,0.828872799873352,0.214333176612854,37.51050096201775,9.699612327436993,0.3216346204280853,0.0643821060657501
Qwen/Qwen2.5-3B-Instruct,3B,6,all,0.3194677468078832,0.46574443871664784,55.25322135915139,42.92982541511825,0.21461395810668668,0.3900350873427598
